index,StartDateUTC,EndDateUTC
0,2016-01-19 14:21:47.980,2016-01-19 14:22:51.830
1,2016-01-19 14:22:51.830,2016-01-19 17:23:51.660
2,2016-01-19 17:23:51.660,2016-01-19 17:30:45.690
3,2016-01-19 17:30:45.690,2016-01-19 19:41:56.830
4,2016-01-19 19:41:56.830,2016-01-19 19:44:53.073
5,2016-01-19 19:44:53.073,2016-01-19 19:49:18.047
6,2016-01-19 19:49:18.047,2016-01-21 09:56:44.780
7,2016-01-21 09:56:44.780,2016-01-21 09:58:50.930
8,2016-01-21 09:58:50.930,2016-01-21 10:51:08.090
9,2016-01-21 10:51:08.090,2016-01-21 10:56:02.120
10,2016-01-21 10:56:02.120,2016-01-21 13:51:13.513
11,2016-01-21 13:51:13.513,2016-01-21 14:03:37.990
12,2016-01-21 14:03:37.990,2016-01-21 15:37:37.417
13,2016-01-21 15:37:37.417,2016-01-21 15:41:59.390
14,2016-01-21 15:41:59.390,2016-01-21 16:08:39.303
15,2016-01-21 16:08:39.303,2016-01-21 16:10:43.323
16,2016-01-21 16:10:43.323,2016-01-21 20:31:58.620
17,2016-01-21 20:31:58.620,2016-01-21 20:46:41.527
18,2016-01-21 20:46:41.527,2016-01-21 21:53:14.227
19,2016-01-21 21:53:14.227,2016-01-21 21:56:36.353
20,2016-01-21 21:56:36.353,2016-01-21 22:06:16.173
21,2016-01-21 22:06:16.173,2016-01-21 22:12:29.140
22,2016-01-21 22:12:29.140,2016-01-21 22:39:59.233
23,2016-01-21 22:39:59.233,2016-01-21 22:42:33.073
24,2016-01-21 22:42:33.073,2016-01-22 02:32:39.627
25,2016-01-22 02:32:39.627,2016-01-22 02:34:59.640
26,2016-01-22 02:34:59.640,2016-01-22 04:20:30.020
27,2016-01-22 04:20:30.020,2016-01-22 04:22:55.947
28,2016-01-22 04:22:55.947,2016-01-22 04:25:02.920
29,2016-01-22 04:25:02.920,2016-01-22 04:56:09.047
30,2016-01-22 04:56:09.047,2016-01-22 04:58:14.230
31,2016-01-22 04:58:14.230,2016-01-22 09:59:39.977
32,2016-01-22 09:59:39.977,2016-01-22 10:05:15.977
33,2016-01-22 10:05:15.977,2016-01-22 21:59:03.370
34,2016-01-22 21:59:03.370,2016-01-22 22:01:07.470
35,2016-01-22 22:01:07.470,2016-01-23 14:21:22.550
36,2016-01-23 14:21:22.550,2016-01-23 14:30:59.460
37,2016-01-23 14:30:59.460,2016-01-24 22:42:02.310
38,2016-01-24 22:42:02.310,2016-01-24 22:45:46.347
39,2016-01-24 22:45:46.347,2016-01-24 22:58:19.380
40,2016-01-24 22:58:19.380,2016-01-24 23:07:36.410
41,2016-01-24 23:07:36.410,2016-01-24 23:09:46.500
42,2016-01-24 23:09:46.500,2016-01-24 23:19:15.433
43,2016-01-24 23:19:15.433,2016-01-25 04:13:14.767
44,2016-01-25 04:13:14.767,2016-01-25 04:50:28.720
45,2016-01-25 04:50:28.720,2016-01-25 04:51:25.610
46,2016-01-25 04:51:25.610,2016-01-25 11:28:51.583
47,2016-01-25 11:28:51.583,2016-01-25 12:51:18.860
48,2016-01-25 12:51:18.860,2016-01-25 12:53:24.720
49,2016-01-25 12:53:24.720,2016-01-25 18:04:07.627
50,2016-01-25 18:04:07.627,2016-01-25 18:07:27.267
51,2016-01-25 18:07:27.267,2016-01-25 18:16:20.717
52,2016-01-25 18:16:20.717,2016-01-25 18:18:26.000
53,2016-01-25 18:18:26.000,2016-01-26 01:26:52.847
54,2016-01-26 01:26:52.847,2016-01-26 01:33:33.140
55,2016-01-26 01:33:33.140,2016-01-26 01:33:37.847
56,2016-01-26 01:33:37.847,2016-01-26 01:39:45.923
57,2016-01-26 01:39:45.923,2016-01-26 01:40:34.917
58,2016-01-26 01:40:34.917,2016-01-26 01:50:13.043
59,2016-01-26 01:50:13.043,2016-01-26 06:55:00.217
60,2016-01-26 06:55:00.217,2016-01-26 07:22:10.140
61,2016-01-26 07:22:10.140,2016-01-26 07:24:17.170
62,2016-01-26 07:24:17.170,2016-01-26 08:08:19.273
63,2016-01-26 08:08:19.273,2016-01-26 08:33:18.953
64,2016-01-26 08:33:18.953,2016-01-26 09:04:57.927
65,2016-01-26 09:04:57.927,2016-01-26 09:08:35.933
66,2016-01-26 09:08:35.933,2016-01-26 09:32:20.893
67,2016-01-26 09:32:20.893,2016-01-26 09:40:29.770
68,2016-01-26 09:40:29.770,2016-01-26 10:12:18.767
69,2016-01-26 10:12:18.767,2016-01-26 10:16:42.650
70,2016-01-26 10:16:42.650,2016-01-26 15:07:23.990
71,2016-01-26 15:07:23.990,2016-01-26 15:12:52.960
72,2016-01-26 15:12:52.960,2016-01-26 15:26:00.017
73,2016-01-26 15:26:00.017,2016-01-26 15:28:05.147
74,2016-01-26 15:28:05.147,2016-01-26 21:20:45.080
75,2016-01-26 21:20:45.080,2016-01-26 21:35:36.180
76,2016-01-26 21:35:36.180,2016-01-26 21:35:41.170
77,2016-01-26 21:35:41.170,2016-01-26 21:37:36.173
78,2016-01-26 21:37:36.173,2016-01-26 21:44:05.187
79,2016-01-26 21:44:05.187,2016-01-26 21:52:08.123
80,2016-01-26 21:52:08.123,2016-01-26 21:52:59.183
81,2016-01-26 21:52:59.183,2016-01-26 22:02:06.093
82,2016-01-26 22:02:06.093,2016-01-26 22:59:06.300
83,2016-01-26 22:59:06.300,2016-01-26 23:03:11.300
84,2016-01-26 23:03:11.300,2016-01-26 23:08:59.590
85,2016-01-26 23:08:59.590,2016-01-26 23:12:45.320
86,2016-01-26 23:12:45.320,2016-01-26 23:28:10.353
87,2016-01-26 23:28:10.353,2016-01-26 23:31:38.530
88,2016-01-26 23:31:38.530,2016-01-27 03:41:07.230
89,2016-01-27 03:41:07.230,2016-01-27 03:45:17.303
90,2016-01-27 03:45:17.303,2016-01-27 05:05:30.377
91,2016-01-27 05:05:30.377,2016-01-27 05:07:35.397
92,2016-01-27 05:07:35.397,2016-01-27 08:06:40.620
93,2016-01-27 08:06:40.620,2016-01-27 08:12:07.617
94,2016-01-27 08:12:07.617,2016-01-27 10:46:10.163
95,2016-01-27 10:46:10.163,2016-01-27 11:11:33.480
96,2016-01-27 11:11:33.480,2016-01-27 11:13:40.113
97,2016-01-27 11:13:40.113,2016-01-27 18:26:01.030
98,2016-01-27 18:26:01.030,2016-01-27 18:29:55.850
99,2016-01-27 18:29:55.850,2016-01-27 18:47:52.893
100,2016-01-27 18:47:52.893,2016-01-27 18:50:00.007
101,2016-01-27 18:50:00.007,2016-01-27 19:40:13.063
102,2016-01-27 19:40:13.063,2016-01-27 19:43:53.080
103,2016-01-27 19:43:53.080,2016-01-28 00:04:32.810
104,2016-01-28 00:04:32.810,2016-01-28 00:08:06.760
105,2016-01-28 00:08:06.760,2016-01-28 00:08:13.763
106,2016-01-28 00:08:13.763,2016-01-28 00:19:20.817
107,2016-01-28 00:19:20.817,2016-01-28 05:32:15.627
108,2016-01-28 05:32:15.627,2016-01-28 05:57:25.807
109,2016-01-28 05:57:25.807,2016-01-28 05:59:30.740
110,2016-01-28 05:59:30.740,2016-01-28 11:13:26.747
111,2016-01-28 11:13:26.747,2016-01-28 11:40:33.677
112,2016-01-28 11:40:33.677,2016-01-28 11:42:40.753
113,2016-01-28 11:42:40.753,2016-01-28 17:34:52.643
114,2016-01-28 17:34:52.643,2016-01-28 17:35:45.783
115,2016-01-28 17:35:45.783,2016-01-28 23:44:12.273
116,2016-01-28 23:44:12.273,2016-01-28 23:46:17.350
117,2016-01-28 23:46:17.350,2016-01-29 04:44:21.037
118,2016-01-29 04:44:21.037,2016-01-29 04:48:35.253
119,2016-01-29 04:48:35.253,2016-01-29 19:26:00.497
120,2016-01-29 19:26:00.497,2016-01-29 19:28:05.523
121,2016-01-29 19:28:05.523,2016-01-30 10:22:29.907
122,2016-01-30 10:22:29.907,2016-01-30 10:23:56.030
123,2016-01-30 10:23:56.030,2016-01-30 10:51:47.963
124,2016-01-30 10:51:47.963,2016-01-30 16:04:18.883
125,2016-01-30 16:04:18.883,2016-01-30 18:05:03.810
126,2016-01-30 18:05:03.810,2016-01-30 18:07:10.710
127,2016-01-30 18:07:10.710,2016-01-30 19:04:12.487
128,2016-01-30 19:04:12.487,2016-01-30 19:06:50.463
129,2016-01-30 19:06:50.463,2016-01-30 19:08:11.450
130,2016-01-30 19:08:11.450,2016-01-30 19:18:03.507
131,2016-01-30 19:18:03.507,2016-01-31 09:40:56.417
132,2016-01-31 09:40:56.417,2016-01-31 09:41:18.020
133,2016-01-31 09:41:18.020,2016-02-01 05:03:35.463
134,2016-02-01 05:03:35.463,2016-02-01 05:05:43.430
135,2016-02-01 05:05:43.430,2016-02-01 07:07:00.557
136,2016-02-01 07:07:00.557,2016-02-01 07:15:43.570
137,2016-02-01 07:15:43.570,2016-02-01 07:19:41.597
138,2016-02-01 07:19:41.597,2016-02-01 07:23:08.757
139,2016-02-01 07:23:08.757,2016-02-01 10:42:03.710
140,2016-02-01 10:42:03.710,2016-02-01 10:42:37.607
141,2016-02-01 10:42:37.607,2016-02-01 10:42:43.697
142,2016-02-01 10:42:43.697,2016-02-01 10:59:01.767
143,2016-02-01 10:59:01.767,2016-02-01 11:06:25.840
144,2016-02-01 11:06:25.840,2016-02-01 11:09:49.910
145,2016-02-01 11:09:49.910,2016-02-01 17:36:44.287
146,2016-02-01 17:36:44.287,2016-02-01 17:37:42.413
147,2016-02-01 17:37:42.413,2016-02-01 18:06:02.363
148,2016-02-01 18:06:02.363,2016-02-01 18:08:07.380
149,2016-02-01 18:08:07.380,2016-02-01 19:03:38.573
150,2016-02-01 19:03:38.573,2016-02-01 19:20:28.053
151,2016-02-01 19:20:28.053,2016-02-01 23:27:09.703
152,2016-02-01 23:27:09.703,2016-02-01 23:27:33.673
153,2016-02-01 23:27:33.673,2016-02-01 23:27:37.850
154,2016-02-01 23:27:37.850,2016-02-01 23:29:34.700
155,2016-02-01 23:29:34.700,2016-02-01 23:40:24.680
156,2016-02-01 23:40:24.680,2016-02-01 23:57:18.320
157,2016-02-01 23:57:18.320,2016-02-02 00:17:26.310
158,2016-02-02 00:17:26.310,2016-02-02 00:31:34.347
159,2016-02-02 00:31:34.347,2016-02-02 06:45:19.933
160,2016-02-02 06:45:19.933,2016-02-02 07:07:35.033
161,2016-02-02 07:07:35.033,2016-02-02 07:09:56.057
162,2016-02-02 07:09:56.057,2016-02-02 17:06:55.670
163,2016-02-02 17:06:55.670,2016-02-02 17:26:32.747
164,2016-02-02 17:26:32.747,2016-02-02 17:28:37.763
165,2016-02-02 17:28:37.763,2016-02-02 22:17:50.053
166,2016-02-02 22:17:50.053,2016-02-02 22:34:03.237
167,2016-02-02 22:34:03.237,2016-02-02 22:34:10.083
168,2016-02-02 22:34:10.083,2016-02-02 22:41:05.117
169,2016-02-02 22:41:05.117,2016-02-03 03:38:02.953
170,2016-02-03 03:38:02.953,2016-02-03 03:38:09.790
171,2016-02-03 03:38:09.790,2016-02-03 03:40:04.037
172,2016-02-03 03:40:04.037,2016-02-03 03:58:32.777
173,2016-02-03 03:58:32.777,2016-02-03 06:20:17.373
174,2016-02-03 06:20:17.373,2016-02-03 06:24:32.620
175,2016-02-03 06:24:32.620,2016-02-03 06:26:32.360
176,2016-02-03 06:26:32.360,2016-02-03 06:36:45.277
177,2016-02-03 06:36:45.277,2016-02-03 08:27:47.137
178,2016-02-03 08:27:47.137,2016-02-03 08:30:40.037
179,2016-02-03 08:30:40.037,2016-02-03 11:45:32.417
180,2016-02-03 11:45:32.417,2016-02-03 11:59:06.397
181,2016-02-03 11:59:06.397,2016-02-03 13:49:56.787
182,2016-02-03 13:49:56.787,2016-02-03 13:51:45.780
183,2016-02-03 13:51:45.780,2016-02-03 14:11:54.830
184,2016-02-03 14:11:54.830,2016-02-03 14:14:01.970
185,2016-02-03 14:14:01.970,2016-02-03 19:33:10.740
186,2016-02-03 19:33:10.740,2016-02-03 19:41:59.800
187,2016-02-03 19:41:59.800,2016-02-03 19:50:44.777
188,2016-02-03 19:50:44.777,2016-02-03 19:52:53.810
189,2016-02-03 19:52:53.810,2016-02-04 01:19:27.630
190,2016-02-04 01:19:27.630,2016-02-04 01:24:00.637
191,2016-02-04 01:24:00.637,2016-02-04 01:26:03.750
192,2016-02-04 01:26:03.750,2016-02-04 01:27:54.787
193,2016-02-04 01:27:54.787,2016-02-04 01:37:45.697
194,2016-02-04 01:37:45.697,2016-02-04 01:41:05.693
195,2016-02-04 01:41:05.693,2016-02-04 01:43:24.863
196,2016-02-04 01:43:24.863,2016-02-04 07:04:12.563
197,2016-02-04 07:04:12.563,2016-02-04 07:06:42.607
198,2016-02-04 07:06:42.607,2016-02-04 07:16:16.657
199,2016-02-04 07:16:16.657,2016-02-04 07:19:21.567
200,2016-02-04 07:19:21.567,2016-02-04 07:20:25.537
201,2016-02-04 07:20:25.537,2016-02-04 07:26:47.113
202,2016-02-04 07:26:47.113,2016-02-04 07:39:01.307
203,2016-02-04 07:39:01.307,2016-02-04 07:41:06.517
204,2016-02-04 07:41:06.517,2016-02-04 15:53:07.370
205,2016-02-04 15:53:07.370,2016-02-04 16:10:00.457
206,2016-02-04 16:10:00.457,2016-02-04 16:11:18.610
207,2016-02-04 16:11:18.610,2016-02-04 16:14:51.443
208,2016-02-04 16:14:51.443,2016-02-04 21:01:47.193
209,2016-02-04 21:01:47.193,2016-02-04 21:05:35.210
210,2016-02-04 21:05:35.210,2016-02-04 21:14:15.210
211,2016-02-04 21:14:15.210,2016-02-04 21:14:20.203
212,2016-02-04 21:14:20.203,2016-02-04 21:16:16.233
213,2016-02-04 21:16:16.233,2016-02-04 21:38:23.390
214,2016-02-04 21:38:23.390,2016-02-04 21:41:58.307
215,2016-02-04 21:41:58.307,2016-02-04 22:16:56.397
216,2016-02-04 22:16:56.397,2016-02-04 22:17:12.470
217,2016-02-04 22:17:12.470,2016-02-04 22:25:37.420
218,2016-02-04 22:25:37.420,2016-02-05 01:05:50.787
219,2016-02-05 01:05:50.787,2016-02-05 01:08:04.920
220,2016-02-05 01:08:04.920,2016-02-05 05:56:20.680
221,2016-02-05 05:56:20.680,2016-02-05 05:58:27.710
222,2016-02-05 05:58:27.710,2016-02-05 06:11:31.783
223,2016-02-05 06:11:31.783,2016-02-05 06:18:30.920
224,2016-02-05 06:18:30.920,2016-02-06 12:52:28.590
225,2016-02-06 12:52:28.590,2016-02-06 12:53:16.397
226,2016-02-06 12:53:16.397,2016-02-06 13:33:14.527
227,2016-02-06 13:33:14.527,2016-02-06 13:35:20.860
228,2016-02-06 13:35:20.860,2016-02-06 23:27:24.357
229,2016-02-06 23:27:24.357,2016-02-06 23:27:47.423
230,2016-02-06 23:27:47.423,2016-02-08 05:15:38.897
231,2016-02-08 05:15:38.897,2016-02-08 05:17:46.920
232,2016-02-08 05:17:46.920,2016-02-08 08:05:47.403
233,2016-02-08 08:05:47.403,2016-02-08 08:11:14.427
234,2016-02-08 08:11:14.427,2016-02-08 08:19:06.453
235,2016-02-08 08:19:06.453,2016-02-08 08:24:19.503
236,2016-02-08 08:24:19.503,2016-02-08 10:51:56.810
